,Revenant
687,RT @guardianfilm: Man behind Leonardo DiCaprio's Revenant bear attack revealed https://t.co/haFogaQ0ov
688,"RT @ScottMendelson: Box Office: Leonardo DiCaprio's 'The Revenant' Can't Top 'Star Wars,' Settles For Huge $38M Weekend @Forbes https://t.c…"
689,RT @aoscott: Movie pussies will get schlonged by the Revenant. I'm from New York so there are no genital references in this tweet.
690,RT @MarkHarrisNYC: Can't tell from early tweets if The Revenant is amazing or just internet-amazing.
691,RT @MarkHarrisNYC: Remember the Globes year that Inarritu won Best Director for The Revenant?
692,"4 noms for ""Revenant"" at #Oscars so far."
693,"""Carol"" leads the way at #goldenglobes with 5 nominations, followed by ""The Big Short,"" ""The Revenant"" and ""Steve Jobs"" with 4 each."
694,The Revenant grabs surprise win as Best Drama and might change the Oscar chances of Spotlight if the Globes meant a damn thing. They don't.
695,"Morgan Freeman gives Director Globe to Alejandro G. Inarritu  for The Revenant. George Miller and Ridley Scott, I personally salute you."
696,"RT @markromanek: Can we talk about the year of the great Domhnall Gleeson? Ex Machina, Brooklyn, The Revenant, and The Force Awakens. Amazi…"
697,Prequel to The Revenant? https://t.co/kzb4ofXBk1
698,"@SRBraybrooke @SlateCultFest @RevenantMovie @KonMari_Method thank you! I am never crazy about hosting the show, glad it sounded good to you."
699,"RT @SlateCultFest: New episode! On @RevenantMovie, @KonMari_Method's Spark Joy, and profanity. https://t.co/DqTWHNVzwk"
700,"Watching Leo di Caprio struggle to recover from a bear mauling in The Revenant, I was reminded of me trying to file all my work before Xmas."
701,I'm rating The Revenant a slight favorite to win Best Picture.
702,Slightly mystified by colleagues such as @LouLumenick who dismissed The Revenant's Oscar chances. Obviously it could well go all the way.
703,The Revenant beat Star Wars last night with $14 million. A strong box office could aid its Oscar prospects.
704,@robmtaub I think the Revenant.
705,"Just found out The Revenant is 156 minutes... so, pretty much guaranteed to win the Oscar."
706,"RT @IWCriticwire: Dallas critics go for Spotlight, and The Revenant finally picks up some awards love: https://t.co/1vcOGxxxfn https://t.co…"
707,RT @IWCriticwire: The Revenant stuns and polarizes: First reactions to Leonardo DiCaprio’s wilderness odyssey: https://t.co/yGdJ99ZkxH http…
