,Carol
725,"7,000 guns seized from property in South Carolina https://t.co/0Jo2fQEmTG"
726,Jamie Kennedy crush it this week at Carolines New York City-then we'll see you at 11 AM EST talking… https://t.co/fBWoWXjjJd
727,"RT @MovieTripTV: We love Wilmington, North Carolina! It's the perfect city for a Movie Trip.
#TheChoice #NicholasSparks https://t.co/VDn0iU…"
728,"We ❤️ North Carolina!
#MovieTripTV #NorthCarolina #TheChoice #NicholasSparks https://t.co/RjrylegUef"
729,"We ❤️ North Carolina!
#MovieTripTV #NorthCarolina #TheChoice #NicholasSparks https://t.co/pPDWHYQXrm"
730,"Take a Movie Trip to Wilmington, North Carolina! 
#TheChoice #NicholasSparks  https://t.co/jEXajZMMXY"
731,"Go on a Movie Trip with @NicholasSparks!
#NicholasSparks #TheChoice #NorthCarolina #MovieTripTV https://t.co/NnL3Ah7tXd"
732,"Go on a Movie Trip with @NicholasSparks! 
#NicholasSparks #TheChoice #Wilmington #NorthCarolina #MovieTripTV https://t.co/Y6kfwyl43f"
733,"Go on a Movie Trip with Nicholas Sparks!
#TheChoice #NicholasSparks #NorthCarolina #Wilimngton #MovieTripTV https://t.co/IB5QqNH5AU"
734,RT @MovieTripTV: Thanks @NicholasSparks for the interview! We loved talking about the @TheChoiceFilm and shooting in #NorthCarolina! https:…
735,"Go @Panthers!
#CarolinaPanthers #SuperBowl50 #NorthCarolina #Wilmington #NicholasSparks #TheChoice #MovieTripTV https://t.co/Shqw4pO7LX"
736,"RT @MovieTripTV: North Carolina looks so beautiful in the @TheLongestRide. Absolutely gorgeous!
#MovieTripTV #NorthCarolina http://t.co/LxF…"
737,"RT @MovieTripTV: The latest @NicholasSparks movie was filmed in and around Wilmington, Winston-Salem and Jacksonville, North Carolina! http…"
738,@BobbyRiversTV @CarolJenkins you two should talk!
739,"Congrats to @CarolJenkins! Not sure of the deets, but have you met my pal @BobbyRiversTV ?"
740,@DavidPoland hope they don't forget Lachman. #Carol
741,Cate Blanchett. Gorgeous work in Carol. Matched by Ed Lachman's stunningly beautiful cinematography. #NYFF
742,"My Top 10 of 2015:
#ExMachina 
#Spotlight 
#StarWars
#TheDanishGirl 
#Room
#MadMaxFuryRoad 
#TheGift 
#Brooklyn 
#Carol 
#TheWalk 
@FOX2now"
743,Suspense is building 4 tonite's #artiosawards when 34 films including #StraightOuttaCompton #Carol #Brooklyn #StarWars face off @CSAcasting
744,#Spotlight #Sicario #Carol #Trainwreck #Compton #Martian #Trumbo #BigShort #SteveJobs #BridgeofSpies amongst #WGA screenplay noms @WGAWest
745,"Major flooding rain continues thru South Carolina. Wind expected today in the SE, too. Just a mess. #LiveOnK2 http://t.co/894CNcufn3"
746,"Top Names, 11/12:  3. #AshleyWilliams 2. #AnneHathaway1. Carol Ann Susi"
747,Since they're talking Best Motion Pic-Drama noms - I pick  @MadMaxMovie but have a feeling that @CarolMovie will win. #GoldenGlobes
748,@MaxOnMovies I didn't get into Carol and all this praise has me considering giving it another viewing to see if I missed something.
749,"RT @marchmadness: 10 teams are still perfect

Michigan State
Iowa State
Purdue
Oklahoma
Xavier
SMU
UNCW
Saint Mary's
South Carolina
Arkansa…"
750,RT @SportsCenter: BREAKING: South Carolina coach Steve Spurrier is retiring. (via @SInow) http://t.co/VqM6nrs9o7
751,RT @FOXSports: Legendary North Carolina basketball coach and basketball Hall of Fame member Dean Smith has passed away. He was 83. https://…
752,RT @HistoryInPics: John F. Kennedy and Caroline Kennedy having a tea party. https://t.co/UVNbMbfL1s
753,"RT @WIOD: Previews of #TheRevenant, #TheDanishGirl, #CarolMovie at 8:22am w/@RyanJayReviews LISTEN LIVE https://t.co/eJwhHvBZdA #movies"
754,"My reviews of the new movies opening Christmas Day: Joy, The Hateful Eight, Concussion, The Big Short, Carol -... https://t.co/aj87Cnp0OX"
755,"My new #MovieReviews of #JoyMovie, #TheHatefulEight, #Concussion, #TheBigShort, #CarolMovie https://t.co/Mw68Urn1aF via @ryanjayreviews"
756,We really didn't feel #CarolMovie - here's my #moviereview with former cohost Caroline! https://t.co/IETTHlD5I3 via @ryanjayreviews
757,"RIP to Mr. Abe Vigoda, who couldn't have been nicer when we met a few years ago. Condolences to daughter Carol. https://t.co/LDtgLDfBua"
758,"No #StarWars, no ""Carol"", no ""Compton"" Best Picture. #OscarNoms"
759,"""Carol"", ""Spotlight"", ""The Big Short"" got shut out. ""The Revenant"" is a surprising new frontrunner. #GoldenGlobes"
760,@CarolineEAnd No but I liked it very much. Excellent twists and bold moments. Isaac and Vikander are quite good. B+
761,"Dennis Quaid was so excited when he said Cate Blanchett's name this morning...until he realized she was nominated for ""Carol"", not ""Truth""."
762,"Cate Blanchett and Rooney Mara shine in ""Carol"". My review: https://t.co/b56Fv9mynk https://t.co/hDW1SQ8kVO"
763,"@CarolineEAnd No, but I'm sure it will ""melt your heart""."
764,Todd Haynes' Sirk nostalgia strips #CarolMovie of the female agency in Patricia Highsmith's novel: https://t.co/QZLCncKTbS
765,Todd Haynes' Sirk obsession renders 'Carol' more conventional than Highsmith's novel. My @WordAndFilm review: https://t.co/QZLCncKTbS
766,"On the shameful South Carolina shootings, and our country's profound need for family therapy: http://t.co/LMtIdzyuKV"
767,#Carol video review on Cinema Seen​ for @RogersTVDurham. https://t.co/SyR7RAQS9v
768,"RT @ThePlaylist: 'Carol,' 'Beasts Of No Nation,' &amp; 'Spotlight' Lead 2016 Film Independent Spirit Award Nominations https://t.co/SnbuzMNGgN"
769,@robtrench I'd be more surprised if Carol didn't play at TIFF.
770,"https://t.co/GooUkSF8wy Reviews of The Revenant, The Forest, Joy, The Walk, Carol, &amp; Sicario."
771,"I usually enjoy Todd Haynes' work, so I surprised I didn't get into Carol.  https://t.co/FE9ZbKqRQ7"
772,"It seems everyone digs Cate Blanchett and Rooney Mara in ""Carol"" ...... except me. My review: https://t.co/xKFLumwXkj"
773,"Tomorrow the movie show returns LIVE w/ reviews of Star Wars The Force Awakens, Carol, The Danish Girl, &amp; our 2015 top 10 worst &amp; best films"
774,"Soon, along with Carol, Macbeth, Anomalisa, lots more. https://t.co/hcEsp1HWt6"
775,"Carol Danvers is Captain Marvel, BTW. #princesssparklefists"
776,Whoa @elmayimbe of @heroichollywood says Marvel's top choice for Carol Danvers is Rebecca Ferguson. I'm down! She was great in M:I 4.
777,"RT @CarolineRaby: @tomellis17 promoting #Lucifer 😈 on @CTV_Television
#CanadaAM w/@RichardCrouse 🔥🔥🔥 #TomEllis
https://t.co/TdwWG3EoYe http…"
778,RT @RealKrisAbel: Sesame Street's Caroll Spinney tells @RichardCrouse how Big Bird was supposed to be on board Challenger https://t.co/rImh…
779,@JIMrichards1010 Carol is great but it is NOT my favorite movie of the year!
780,@tylisforlife I don't get it either. And where was Carol?
781,"In Seattle, @CarolMovie opens on Christmas. Can't wait to screen it soon, @carilynp. I'll keep you posted here! https://t.co/tgBgvsrkSK"
782,South Carolina Senate vote to remove #ConfederateFlag just in: 36 to 3. That's 36 humans and 3 ugly ones.
783,"RT @usweekly: Best Original Score - Bridge of Spies, Carol, The Hateful Eight, Sicario, Star Wars: The Force Awakens #Oscars #OscarNoms"
784,RT @Variety: #GoldenGlobes nominations led by #Carol and @Netflix https://t.co/rVWfno3dr4 https://t.co/AJe5iTRYd0
785,Bill Murray to Sing Christmas Carols in Upcoming TV Special (EXCLUSIVE) http://t.co/6BLQDrHIv6 via @Variety
786,"'Carol' Available on Blu-ray™, DVD and On Demand March 15, 2016 Available on Digital H ... - https://t.co/Y05E7ASH2y https://t.co/pAibKKKn1U"
787,Keira Knightley to Star in 'Colette' Biopic by 'Carol' Team - https://t.co/RiWgqmKnCL https://t.co/2pMPh6wLj8
788,"Veteran Editors Carol Littleton, ACE and Ted Rich, ACE to Receive Career Achievement ... - https://t.co/7EwgVbSAEe https://t.co/G7RsYIkVTq"
789,"RT @8NEWS: Caroline County, Amelia County Schools &amp; more on a 2-hour delay today: https://t.co/SO8zoFTeUP https://t.co/RZZEbVZAz8"
790,All good choices RT @AriesEd68: @Morgan8news Blue Christmas is depressing. Favorites include Christmastime is Here and Carol of The Bells
791,"RT @_jkeee: @Morgan8news LC Bird High School is having a toy drive for South Carolina flood victims, love for help getting the word out"
792,RT @ABC: Two teens mauled in separate shark attacks at North Carolina beach: http://t.co/9iRqvvOn89
793,"School Delays:   RT @TimPandajisWRIC: **Caroline &amp; King William Counties on a 2-Hour Delay, today, Tuesday, February 10th"
794,"RT @Carole_King: Gerry Goffin 1939-2014 
There are no words. http://t.co/TSxj8B1gdK"
795,What Carol did on @TheWalkingDead tonight will go do as one of most infamous moments in TV history #WalkingDead Shocking
796,Final curtain call for the Carolina theatre? - http://ow.ly/3xBoZ
797,And we will see #CarolBurnett next at @austinfilm TX Film Hall of Fame Awards. https://t.co/nihuzJqc87
798,@TheInSneider I think you could cash on Ronan if Cate and Rooney split the Carol votes.
799,@JerseyCapperNHL what's the best amount to hedge at? Speaking of hedge Carolina -1.5 was like +500 last night.
800,@JerseyCapperNHL no fear on the Rags 3gm slide cause they own Carolina?
801,@Carolzilla1 @gdinges @justinlong no it's back at the South Lamar Drafthouse.
802,@CarolineCashion Right in my neighborhood. How's the happy hour scene there?
803,@CarolineCashion I saw them on the bridge over 183 in East Austin not long ago. Probably the least supportive part of town they could be.
804,“Joy.” “Carol.” Two films titled after women. Two Christmas-y names. Both w/Christmas scenes. #OddSantaSynchonicity https://t.co/q5tRvt4Lz0
805,"I loved #Carol, but will the masses care about yet another film with a young actress in a Santa hat? #Elf #MeanGirls http://t.co/rFmcKH4wdI"
806,"#TheOvernight (6/19) is more an extension of ""Go's"" dinner scene than a new ""Bob&amp;Carol&amp;Ted&amp;Alice"" or ""Virginia Woolf"" http://t.co/BJ8QsLYPJx"
807,"Saturday night, Caroline's  -- BOOKED!! http://t.co/eeT3KPUfEV"
808,"RT @Artforum: Print | Same Sex, Different Cities: @MelissEAnderson on Todd Haynes's @CarolTheMovie http://t.co/CuJ0FTaaPM http://t.co/M3M6S…"
809,"My ""Carol"" review in the winter issue of @Cineaste_Mag https://t.co/cKgpXZW0fj"
810,"SXSW fest preview - promising music docs notably ""Marley"" + Carol Morley's ""Dreams of a Life"" & Lena Dunham's ""Girls"" http://t.co/6CeX0oAx"
811,@SonnyBunch Carol seemed to be blanketing the airwaves w/ ads yesterday. I wonder if it was pre-planned around Oscar noms.
812,"RT @maddiewhittle: Movie Takes

Carol 😍
Brooklyn ☺️
Spotlight 😊
Joy 😒😏😀
Big Short 😎
Revenant 😬😴
Hateful Eight 😆😳😷"
813,"@PaulSorrells13 Definitely see Carol and Room, because they're excellent. And TFA is good, too. And H8 is, well, interesting at any rate."
814,"@mimbale @LouLumenick I don't understand these matters too well, but  I think Carol is the kind of movie Harvey knows how to open."
815,RT @LWLies: Watch @clarisselou heap praise on #Carol in an all-new episode of That Darn Movie Show! https://t.co/3Gk1d2Jux7 https://t.co/Br…
816,"Kristen jokes, Keaton gloats and other news from the NYFCC awards. https://t.co/5s4dIGATtu #KristenStewart #NYFCC #HatefulEight #Carol"
817,"Trans/itional: Actors and filmmakers talk about what's changed, and hasn't, in LGBT films  https://t.co/7OfTABHxvo #Carol #danishgirl"
818,"Director Todd Haynes talks frankly about 'Carol,' Hollywood and the sexy/scary pull of passion  https://t.co/QHghX93JT1 #CarolMovie"
819,"Rooney Mara falls in love with Carol, and I fall in love with 'Carol' -- A four-star review  https://t.co/SS6UGkxHiB #Carol"
820,"@SaltedCarthage ""Carol"" makes it all better next week."
821,RT @SethAbramovitch: Todd Haynes slipped me a tracklisting of the 78-song mix he made to get Cate and Rooney in the mood for @CarolMovie. h…
822,"@davidehrlich ""Merry Christmas, because you just got Caroled...again."""
823,Joyce Carol Oates. https://t.co/l5VVSGxTep
824,"RT @NatSocFilmCrix: BEST CINEMATOGRAPHY: Ed Lachman, ""Carol"""
825,"RT @NatSocFilmCrix: BEST DIRECTOR: Todd Haynes, ""Carol"""
826,"@blankemon @faceyouhate @Glenn__Kenny @UnExplainedCine I once sang ""Mack the Knife'' on karaoke night at a dude ranch in North Carolina."
827,RT @nypost: BREAKING: Police respond to mall in North Carolina after receiving reports of shots fired (via @AP)
828,"North Carolina mall puts new ""glacier"" set for Santa on ice after outcry https://t.co/0Y7KAMhLqj https://t.co/QpCrEeiYNS"
829,"@anniearlert @MoviesSilently @Lesmitch529 Now that's a concept. She could end up starring in the TV sitcom ""I Love Carole.''"
830,Heading out to North Carolina for the weekend. CLT forecast for Saturday night is a low of 39?
831,"RT @DavidPoland: If they don’t start pushing harder, yes.  RT @LoveSleyton: @DavidPoland Do you think Carol could miss Picture Oscar nomina…"
832,Only movie I know of that manages to combine rodeo riding and the Holocaust. From a novel by Nicholas Sparks. Great North Carolina locations
833,"RT @RPatrickBooks: Edith Head, causing trouble at a high school prom in South Carolina. (She'd say she was a costume designer, BTW.) http:/…"
834,I liked the Norman Lear doc that opened Sundance (it shows you how Caroll O'Connor turned All in the Family into sitcom Eugene O'Neill)...
835,RT @ThisIsFusion: South Carolinians on why the Confederate flag must be taken down: http://t.co/In2mxUww1M http://t.co/s2OstsfBnb
836,"Creepy cloaked figure leaving raw meat in playgrounds: North Carolina, or #NightVale? http://t.co/sl2cd68rYY via @eonline @NightValeRadio"
837,"#NYFCC Christine Vachon of Killer Films (best pic ""Carol"") recalls seeing Todd Haynes' ""Superstar:"" ""A life-changing moment for me."""
838,"#NYFCC Nathan Lane presents best pic award to ""Carol"" and notes Killer Films producer Christine Vachon (a Hamptons regular) in particular..."
839,"Todd Haynes of ""Carol"" accepts by quoting Yusuf Islam: ""I'm looking for a hard-headed woman / One who will make me do my best."""
840,"#NYFCC Alec Baldwin presents director award to Todd Haynes for ""Carol,""  praises his commitment to ""women's stories."" Cue rousing applause."
841,"#NYFCC Screenplay winner Phyllis Nagy (""Carol"") credits the St. Mark's Cinema with her movie education."
842,"#NYFCC Phyllis Nagy accepts ""Carol"" screenplay award: ""I assure you that I have read every bad review out there. So thank you."""
843,"#NYFCC Tony Kushner lauds Patricia Highsmith (""Carol"") with expectedly brainy speech about ""spaciousness"" and ""the dynamics of silence."""
844,"Golden Globe nominations 2016: 'Carol' leads with 5: ""Carol"" swept the Golden Globe nominees at Thursday morni... https://t.co/jw11XqDTcN"
845,"""Carol"" leads the way at #goldenglobes with 5 nominations, followed by ""The Big Short,"" ""The Revenant"" and ""Steve Jobs"" with 4 each."
846,'Carol' review: Cate Blanchett shines in '50s lesbian drama:  https://t.co/XuPBOyvdlJ
847,"Funniest Golden Globes comedies this year: ""The 33,"" ""Carol,"" ""The Look of Silence."""
848,"Hamptons International Film Festival features 'Spotlight,' 'Carol,' more Oscar contenders: The Hamptons Intern... http://t.co/PICB75qy23"
849,"@BluTarp I know. : ( @hujane &amp; I wanted to do Carol together, but the podcast lost its producer last year &amp; is, at least for now, on hiatus."
850,"@BilgeEbiri Carol wears fur, sure--but does she have the guts to put on the _whole animal_?"
851,RT @DavidPoland: By the movie or your date?  RT @thehighsign: I only advise you to go see Carol if you’re in the mood to be ravished. https…
852,"Thanks, Bryan! Yes, I only advise you to go see Carol if you're in the mood to be ravished. https://t.co/OFga2BMUOX https://t.co/86Q7JPVosZ"
853,"RT @frankrichny: My new @NYMag piece on Todd Haynes' mesmerizing “Carol,” Patricia Highsmith, and lesbian culture’s hidden history. https:/…"
854,"@sayanroy Stuff that's in theaters right now? Well, I really liked Crimson Peak https://t.co/aPOM7crSn0 For upcoming movies, Carol is great."
855,@QueenColleen85 Wait till I've seen both (or either!) for an answer. I can say that I love Todd Haynes' work &amp; I'm super-excited for Carol.
856,"@mimbale @bybowes Just don't make me be the first to popularize the new terminology. Carole King =&gt; ""You make me feel like a natal woman..."""
857,RT @dankois: Hellooooo Carolina! @Slate's parenting podcast LIVE in Durham feat. me @abenedikt @MacMerge http://t.co/UkryJbhhsV http://t.co…
858,"Perhaps ""Carol Channing: Larger Than Life"" will bring this amazing woman a new audience: http://t.co/C82Ithu3"
859,Pleasing that the Academy is starting to catch on to shameless Oscar bait pictures like Carol &amp; Danish Girl and nixing them for best pic.
860,"Carol with an Ennio Morricone soundtrack, though!....nah, it would still suck."
861,I've seen lace doilies that were more interesting than Carol.
862,"""The New York Film Critics Circle is pleased to announce its 2015 Insomnia Remedy....Carol!"""
863,"Moviegoers, don't blame me when you see Carol and are overwhelmed by how underwhelmed you are. I didn't vote for it. #NYFCC"
864,Carol is a fairly embarrassing choice for Best Picture.
865,"RT @islandgirlee7: @JoyceCarolOates @rkylesmith  It's barbaric if it's for sport. If it's food that's needed, it's fine. That's what God or…"
866,RT @JoyceCarolOates: So barbaric that this should still be allowed...  No conservation laws in effect wherever this is? https://t.co/hgavm9…
867,The game would have been great if only Duke had lost and also the winner had been Carolina.
868,Is Caroline Kennedy seriously selling her dad's speeches to Carnival Cruises?
869,RT @IWCriticwire: Critics Poll: Max Max cruises to victory; Category confusion takes a toll on Carol: https://t.co/yGyx0b3PHX https://t.co/…
870,RT @IWCriticwire: Carol sweeps New York Times critics Best Movies of 2015 lists: https://t.co/SUyGzl9R3I https://t.co/cQFo8Mq3Jj
871,"RT @IWCriticwire: Carol dominates @NYFCC awards, with Kristen Stewart and Michael Keaton as surprise winners: https://t.co/IELrIPXCqC https…"
872,"RT @IWCriticwire: New York Film Critics Circle winners so far: Kristen Stewart, Saorise Ronan, Mark Rylance, Inside Out, Carol. https://t.c…"
873,Has anyone seen Bob or Ted or Carol or Alice? https://t.co/vwa1RqDb5F
